Subject Name,Scientific Name,Num. of Counties,Habit
bladder senna,Colutea arborescens L.,50,Hardwood Trees
Benghal dayflower,Commelina benghalensis L.,36,Forbs/Herbs
Asiatic dayflower,Commelina communis L.,1226,Forbs/Herbs
narrow-leaved iceplant,Conicosia pugioniformis (L.) N.E. Br,7,Shrub or Subshrub
poison hemlock,Conium maculatum L.,1379,Forbs/Herbs
lily of the valley,Convallaria majalis L.,456,Forbs/Herbs
field bindweed,Convolvulus arvensis L.,1796,Vines
red manjack,Cordia collococca L.,0,Hardwood Trees
American bugseed,Corispermum americanum var. rydbergii Mosyakin,45,Forbs/Herbs
shiny bugseed,Corispermum nitidum Kit. ex J.A. Schultes,0,Forbs/Herbs
gray dogwood,Cornus racemosa Lam.,3,Hardwood Trees
redosier dogwood,Cornus sericea L.,2,Hardwood Trees
purple pampasgrass,Cortaderia jubata (Lem.) Stapf,47,Grass or Grasslike
Uruguayan pampas grass,Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.,158,Grass or Grasslike
incised fumewort,Corydalis incisa (Thunb.) Pers.,34,Forbs/Herbs
common filbert,Corylus avellana L.,16,Hardwood Trees
karaka nut,Corynocarpus laevigatus J.R. & G. Forst.,4,Hardwood Trees
garden cosmos,Cosmos bipinnatus Cav.,138,Forbs/Herbs
milkflower cotoneaster,Cotoneaster coriaceus Franch.,21,Shrub or Subshrub
orange cotoneaster,Cotoneaster franchetii Boiss.,24,Shrub or Subshrub
cotoneaster,Cotoneaster Medik.,18,Shrub or Subshrub
silverleaf cotoneaster,Cotoneaster pannosus Franch.,26,Shrub or Subshrub
southern brassbuttons,Cotula australis (Sieber) Hook. f.,41,Forbs/Herbs
brassbuttons,Cotula coronopifolia L.,68,Forbs/Herbs
redflower ragleaf,Crassocephalum crepidioides (Benth.) S. Moore,18,Forbs/Herbs
common hawthorn,Crataegus monogyna Jacq.,206,Hardwood Trees
Washington hawthorn,Crataegus phaenopyrum (L. f.) Medik.,0,Shrub or Subshrub
smooth hawksbeard,Crepis capillaris (L.) Wallr,281,Forbs/Herbs
narrowleaf hawksbeard,Crepis tectorum L.,227,Forbs/Herbs
montbretia,Crocosmia x crocosmiiflora (V. Lemoine) N.E. Br. [aurea × pottsii],34,Forbs/Herbs
showy rattlebox,Crotalaria spectabilis Roth,293,Forbs/Herbs
